title,label
Finance Planning - Q1,planning
Horizon Design Review,workshop
Weekly Company Meeting,all_hands
EduBase x DevOps Sync,client
RetailCo Monthly Review,client
Dev Standup - 2024-02-09,standup
Helix v2 Planning,planning
[Interview] Kevin Davis - Eng,interview
BrightEdge Partnership Discussion,client
Data Deep Dive - Beta,workshop
Design Social,social
Frontend DSU Jan 17,standup
Legal Town Hall Q4,all_hands
Wendy / Rachel,one_on_one
L&L: Q4,workshop
[Social] Security Meetup,social
Hiring: Alice Anderson (Lead),interview
Ivan Phone Screen,interview
Coffee: Rachel & Priya,social
Ops Town Hall - Q2 2025,all_hands
Taylor - Onsite,interview
Daily Frontend Check-in,standup
BrightEdge x Marketing Sync,client
Sync: Jordan / Kevin,one_on_one
[Horizon] Sprint Planning,planning
Zephyr Strategy Session,planning
OKR Launch All Hands,all_hands
DevOps DSU 04/07,standup
Work Anniversary,social
Debrief: Wendy SWE Interview,interview
Team Offsite,workshop
Legal Town Hall Q2,all_hands
Annual Engineering Offsite,workshop
Bob x Victor,one_on_one
Team Standup,standup
Debrief: Jordan PM Interview,interview
Zephyr Sprint Sync,standup
EduBase x Security Sync,client
Data Sprint Planning,planning
Sales / Product Standup,standup
ML Paint Night,social
Company All Hands - Q1,all_hands
RetailCo Beta Update,client
Weekly 1:1 Ivan,one_on_one
Sales / DevOps Standup,standup
Q2 Planning,planning
Account DataBridge Call,client
OpenPath Demo,client
Sync: Kevin / Quinn,one_on_one
Weekly 1:1 Nina,one_on_one
Growth Bowling,social
Tara <> Morgan,one_on_one
Quinn <> Nina,one_on_one
Legal Social Nov 29,social
[Social] Product Meetup,social
Team Standup - Q4,standup
HR OKR Review,planning
GlobalTech Alpha Update,client
Platform OKR Check-in,planning
1-1: Riley & Carlos,one_on_one
DataBridge POC Update,client
Sam - Bar Raiser,interview
Infra Paint Night,social
Security All-Hands (2024-09-25),all_hands
Data standup (Feb 13),standup
Company All Hands - W41,all_hands
SkyLine Apex Update,client
HM Interview: Yusuf,interview
Julia Anderson <> Jordan Taylor,one_on_one
2024 Hackathon,workshop
Coffee: Priya & Xiang,social
EduBase Weekly Sync,client
Diana Lee | Final Round,interview
Echo Sprint Daily,standup
[1:1] Yusuf - Alice,one_on_one
Nexus Hackathon,workshop
Nova Strategy Session,planning
1:1 Priya / Diana,one_on_one
Alex Martinez - Interview,interview
Annual QA Offsite,workshop
Backend Town Hall - Q3 2025,all_hands
Zephyr Kickoff,planning
Daily Legal Standup,standup
Hiring: Casey Johnson (Staff),interview
BrightEdge x DevOps Sync,client
Ops Interview: Ivan,interview
HealthFirst Renewal Discussion,client
Weekly Frontend Planning,planning
Fatima 1:1,one_on_one
Coffee: Casey & Rachel,social
HR Offsite,workshop
Nexus v2 Planning,planning
Weekly Catch-up,one_on_one
Echo Scrum,standup
HR Offsite 07/19,workshop
Sales Sprint Kickoff,planning
R&D Architecture Review,workshop
[Client] FinServ Review,client
[Workshop] DevOps x Product,workshop
NetCore — Product Review,client
Infra Interview: Victor,interview
Casey Coding Interview,interview
QA standup (May 22),standup
Product Offsite,workshop
GlobalTech — Technical Review,client
Q1 Milestone Planning,planning
Security OKR Planning,planning
1:1 Yusuf / Julia,one_on_one
OKR Sprint Daily,standup
Product Backlog Grooming,planning
Weekly 1:1 Alex,one_on_one
GlobalTech Sync,client
Interview: Quinn - Round 2,interview
Uma Kim | Round 2,interview
1:1 Alex / Marcus,one_on_one
GlobalTech Kickoff,client
ML Interview: Riley Thomas,interview
Security Town Hall - Q4 2024,all_hands
Q3 OKR Review,planning
Hiring: Ivan Patel (PM),interview
Uma System Design,interview
[1:1] Taylor - Julia,one_on_one
Victor & Morgan,one_on_one
2024 Launch All Hands,all_hands
[1:1] Riley - Ivan,one_on_one
External: DataBridge Sync,client
Victor Garcia | Round 1,interview
Nova v2 Planning,planning
Q3 Planning,planning
Legal All-Hands (W08),all_hands
RetailCo Weekly Sync,client
Horizon Scrum 12/07,standup
Sam Brown <> Hannah Brown,one_on_one
Sales Brainstorm: Forge,workshop
Julia <> Wendy (W02),one_on_one
[1:1] Quinn - Yusuf,one_on_one
[All Hands] Mar 19,all_hands
Hiring Manager Interview: Kevin,interview
CloudNine Kickoff,client
[Interview] Laura Lee - Eng,interview
[Workshop] DevOps x DevOps,workshop
v2 Daily Standup,standup
Weekly: Quinn / Casey,one_on_one
Riley Check-in,one_on_one
Data Team Outing,social
Sync: Yusuf / Jordan,one_on_one
Debrief: Bob SWE Interview,interview
ML DSU,standup
ML Interview: Hannah Davis,interview
ML Interview: Xiang Brown,interview
Sam Anderson (SkyLine) Call,client
Hiring: George Kim (Staff),interview
Alice Behavioral Interview,interview
Weekly: Bob / Taylor,one_on_one
[Social] Product Hangout,social
Dev Standup - 11/25,standup
R&D Milestone Check,planning
Marketing Interview: Ivan Moore,interview
FinServ Sync,client
BrightEdge Partnership Call,client
Weekly 1:1 George,one_on_one
EOD Eng Check-in,standup
Design Deep Dive - Titan,workshop
Data / Data Standup,standup
EduBase Demo,client
Ops Town Hall,all_hands
GlobalTech POC Kickoff,client
Design Social 03/01,social
[Social] Engineering Gathering,social
Diana Lee <> George Johnson,one_on_one
Account Review,client
HM Interview: Xiang,interview
Beta Strategy Session,planning
DataBridge Partnership Review,client
Platform Planning - 05/28,planning
Atlas Kickoff,planning
Growth Roadmap Mar 16,planning
[All Hands] 2024-03-10,all_hands
Diana <> Yusuf,one_on_one
Pulse Milestone Review,planning
Product Social 2024-07-16,social
CloudNine Onboarding 08/13,client
PI Planning - Q1,planning
1-1: Uma & Morgan,one_on_one
Hiring: Ivan Moore (DS),interview
Virtual Lunch,social
Frontend Working Session,workshop
Growth Brainstorm: v3,workshop
Tara <> Nina,one_on_one
ML Roadmap 06/04,planning
Zoe Wilson (HealthFirst) Call,client
NetCore Weekly Sync,client
[Pulse] Sprint Planning,planning
[Workshop] Backend x Finance,workshop
Platform standup (Q3),standup
Weekly Finance Planning,planning
Catch up: Sam & Riley,one_on_one
Nexus Launch All Hands,all_hands
ML Social,social
Coffee: George & Morgan,social
Marketing Stand-up,standup
OpenPath QBR,client
Frontend All Hands,all_hands
1on1 - Alex,one_on_one
Platform Sprint Retro,planning
Legal Interview: Omar,interview
HealthFirst — Executive Review,client
Debrief: Wendy PM Interview,interview
Sales Town Hall Aug 31,all_hands
HR Offsite Q1,workshop
Growth All-Hands (2024-04-03),all_hands
QA / Ops Standup,standup
ML All-Hands (2024-10-08),all_hands
Daily Security Check-in,standup
v3 Daily Standup,standup
POC Design Sprint,workshop
FinServ Apex Update,client
Julia Taylor | Technical Round,interview
Retro Workshop,workshop
OKR Scrum,standup
L&L: Alpha,workshop
[Growth] Daily,standup
Interview: Victor - Round 2,interview
External: EduBase Sync,client
Infra Social 2024-09-09,social
SkyLine POC Update,client
FinServ Intro Call,client
Hannah Technical Screen,interview
External: FinServ Call,client
PI Planning - Pulse,planning
[Workshop] Sales x HR,workshop
Sales Volunteering,social
HR Town Hall - Q3 2024,all_hands
HM Interview: Taylor,interview
Fatima Martinez <> Yusuf Lee,one_on_one
Engineering OKR Planning,planning
Platform / Infra Standup,standup
[Q1] Sprint Planning,planning
Platform Town Hall - Q1 2024,all_hands
Eng All Hands - Q3,all_hands
Marketing standup (Aug 08),standup
Sales Interview: Tara Chen,interview
Zephyr Workshop,workshop
Headcount Planning,planning
Q4 Sprint Sync,standup
Dev Standup - W12,standup
Design Interview: Taylor,interview
Marketing Backlog Grooming,planning
Daily Marketing Standup,standup
1-1: Rachel & Rachel,one_on_one
Design All-Hands,all_hands
Kevin Wilson | Round 2,interview
Quarterly Sales Offsite,workshop
Wendy Wilson (BrightEdge) Call,client
Account FinServ Sync,client
[Client] RetailCo Sync,client
Hannah - Bar Raiser,interview
Sync: George / Fatima,one_on_one
1-1: Yusuf & Tara,one_on_one
L&L: Helix,workshop
Backend OKR Planning,planning
Nexus Strategy Session,planning
[1:1] Zoe - Yusuf,one_on_one
Marketing Planning,planning
Bob x Fatima,one_on_one
Nexus Scrum,standup
Marketing Sprint Kickoff,planning
Annual Finance Offsite,workshop
Interview: Julia - Round 2,interview
[Finance] Daily,standup
Sales Offsite,workshop
9am Sync,standup
[Platform] Daily,standup
Legal Daily,standup
Casey Behavioral Interview,interview
Sales Deep Dive,workshop
1:1 Bob / Riley,one_on_one
Weekly 1:1 Laura,one_on_one
Interview: Alice - Round 1,interview
[1:1] Marcus - Ivan,one_on_one
Q2 OKR Review,planning
Hannah Farewell Lunch,social
Sales Sprint Retro,planning
DevOps standup (Nov 13),standup
Customer NetCore Call,client
1:1 Nina / Bob,one_on_one
FinServ Echo Update,client
Platform Deep Dive - Q1,workshop
HealthFirst x DevOps Sync,client
Security OKR Check-in,planning
Sync: Marcus / Rachel,one_on_one
Sync: Uma / Yusuf,one_on_one
Engineering OKR Check-in,planning
Marcus - Take-home Review,interview
[Security] Daily,standup
George & George,one_on_one
Training: ML,workshop
Sales / Legal Standup,standup
2025 Architecture Review,workshop
Coffee: Taylor & Ethan,social
Eng standup (12/14),standup
SkyLine x Legal Sync,client
BrightEdge Partnership Review,client
OKR Sprint Sync,standup
Design Sync,standup
Titan Daily Standup,standup
Eng OKR Review,planning
Process Workshop - DevOps,workshop
1:1 Yusuf / Jordan,one_on_one
NetCore Call,client
[Q2] Sprint Planning,planning
[1:1] Xiang - Laura,one_on_one
Hannah Taylor - Interview,interview
Alex Garcia <> Morgan Johnson,one_on_one
2024 Sprint Daily,standup
Acme Q4 Update,client
Weekly Engineering Sync,standup
Fatima & Victor,one_on_one
Finance Deep Dive - Zephyr,workshop
FinServ Orion Update,client
Account SkyLine Sync,client
Finance standup (03/21),standup
Nina <> Julia (2024-10-01),one_on_one
